Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
1,Vulcantry,Thetford,Thetford Deanery,Towcesland,Brotherhood of Towcesland,Mercian,Thetford Cult,79242,325.49,231.12,18.16,-43.06,52,95°F,Mecca,capital,,citadel,walls,plaza,temple,shanty town,{t1:purpure;charges:[{charge:boat2;t:argent;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Vulcantry&population=79242&size=68&seed=8194174370001&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
2,Avon,Inarnes,Inarnes County,Arania,Principality of Arania,Keltan,Norwickism,7643,259,53,33.06,-48.62,13,75°F,Dakar,capital,port,citadel,walls,,,,{t1:vert;charges:[{charge:fusil;t:argent;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Avon&population=7643&size=28&seed=8194174370002&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.76
3,Olzaler,Olzaler,Olzaler Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,3568,131.3,421.9,2.19,-59.31,13,102°F,Mecca,capital,,citadel,walls,,,,{t1:sable;ordinaries:[{ordinary:cross;t:or;line:dovetailed}];charges:[{charge:mascle;t:sable;p:behdf;size:0.3}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Olzaler&population=3568&size=21&seed=8194174370003&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
4,Cudmin,Cudmin,Cudmin Seneschalty,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,52009,201.5,552.5,-8.74,-53.44,52,100°F,Mecca,capital,port,citadel,walls,plaza,temple,,{t1:purpure;ordinaries:[{ordinary:pale;t:argent;line:bevilled}];charges:[{charge:roundel2;t:azure;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cudmin&population=52009&size=58&seed=8194174370004&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.26
5,Chistone,Chistone,Chistone County,Chawburia,Duchy of Chawburia,Westen,Norwickism,21262,240.5,467,-1.58,-50.17,30,102°F,Mecca,capital,port,citadel,walls,plaza,temple,,{t1:azure;division:{division:perFess;t:argent;line:indented};charges:[{charge:anchor;t:or;p:jlh;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Chistone&population=21262&size=41&seed=8194174370005&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.99
6,Water Golem Falls,Norishinia,Norishinia Seneschalty,Afespia,Kingdom of Afespia,Keltan,Norwickism,31374,290.5,133.5,26.33,-45.99,82,84°F,Aden,capital,port,citadel,walls,plaza,,,{t1:gules;charges:[{charge:sun;t:argent;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Water+Golem+Falls&population=31374&size=48&seed=8194174370006&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.41
7,Westcles,Westcles,Westcles County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,39451,346,640.5,-16.1,-41.34,30,99°F,Mecca,capital,port,citadel,walls,plaza,temple,shanty town,{t1:argent;division:{division:perCross;t:gules;line:potentyDexter};ordinaries:[{ordinary:cross;t:sable;line:straight;divided:field}];shield:heater},https://watabou.github.io/city-generator/?name=Westcles&population=39451&size=52&seed=8194174370007&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.78
8,Warton,Warton,Warton County,Waria,Warian Empire,Westen,Norwickism,4072,433,625.5,-14.85,-34.06,30,99°F,Mecca,capital,port,citadel,walls,,,,{t1:purpure;charges:[{charge:hatchet;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Warton&population=4072&size=22&seed=8194174370008&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.78
9,Totonor,Quatford,Quatford Shire,Swasings,Principality of Swasings,Westen,Norwickism,44411,938,627.5,-15.01,8.2,30,99°F,Mecca,capital,port,citadel,walls,plaza,,shanty town,{t1:azure;division:{division:perCross;t:argent;line:wavy};charges:[{charge:tower;t:or;p:j;size:0.6};{charge:serpent;t:gules;p:l;size:0.6};{charge:crossTemplar;t:gules;p:m;size:0.6};{charge:helmet;t:argent;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Totonor&population=44411&size=55&seed=8194174370009&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.71
10,Ponverlis,Sorewent,Sorewent County,Blecland,Duchy of Blecland,Westen,Norwickism,8936,796.5,654.5,-17.27,-3.64,30,99°F,Mecca,capital,port,citadel,walls,,,,{t1:azure;charges:[{charge:swanErased;t:argent;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ponverlis&population=8936&size=30&seed=8194174370010&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.15
