Id,Route,Group,Length
561,Unnamed route,searoutes,5435 km
12,Tranquil road,roads,4943 km
7,Unnamed route,roads,3309 km
11,Arcane road,roads,2812 km
1,Spike road,roads,1763 km
501,Ulgathizdus trail,trails,1464 km
94,Skalzian path,trails,1375 km
559,Unnamed route,searoutes,1321 km
91,Berwickwar trail,trails,1284 km
28,Krash trail,trails,1230 km
0,The Frosty Vulcantry road,roads,1207 km
5,Shadow road,roads,1187 km
595,Knutston sea route,searoutes,1095 km
485,Grald track,trails,1039 km
2,Shadowed road,roads,984 km
266,Qhech path,trails,948 km
6,Dusk route,roads,927 km
51,Bunar path,trails,907 km
36,Aberldynonese trail,trails,892 km
562,Unnamed route,searoutes,822 km
571,Verdant lane,searoutes,755 km
475,Albar trail,trails,709 km
9,Arcane way,roads,693 km
102,Brasbury track,trails,660 km
484,Zorradh pass,trails,639 km
39,Siumunese pass,trails,611 km
299,Rivekath pass,trails,604 km
545,Drodzokh track,trails,585 km
608,Celestial lane,searoutes,564 km
459,Uggor trail,trails,542 km
558,The Great Glowing lane,searoutes,537 km
614,Unnamed route,searoutes,532 km
376,Khaled path,trails,527 km
499,Nakib trail,trails,527 km
510,Dudid trail,trails,512 km
52,Sarac path,trails,501 km
463,Igin track,trails,494 km
14,Aurora road,roads,474 km
82,Midbutoncean track,trails,468 km
560,Unnamed route,searoutes,464 km
564,The Silent Iron sea route,searoutes,455 km
527,The Breezy Addum trail,trails,440 km
547,Kegorougham path,trails,431 km
176,Wargtondenese trail,trails,428 km
58,Nij'assean trail,trails,416 km
187,Radiant trail,trails,416 km
3,Chistonean highway,roads,412 km
505,Hosaxhirelese trail,trails,411 km
422,Megrish trail,trails,411 km
127,Scarlet track,trails,410 km
536,Erkoz trail,trails,407 km
143,Khiz trail,trails,407 km
162,Ingelleboduan trail,trails,405 km
265,Kinbizdus path,trails,399 km
136,Totnian trail,trails,398 km
583,The Rustic Sapphire seaway,searoutes,397 km
221,Tetheters path,trails,394 km
37,Unnamed route,trails,392 km
324,The Great Grirk path,trails,390 km
566,Unnamed route,searoutes,390 km
454,Verdant trail,trails,390 km
605,The Obscure Ethereal sea route,searoutes,387 km
503,Armordduroduan trail,trails,367 km
139,Rain trail,trails,363 km
530,Khararagz trail,trails,356 km
68,The Misty Anveguran trail,trails,353 km
